county,2019,2020,2021,2022,2023
Adams,7,7,3,6,6
Allen,109,115,145,132,89
Bartholomew,18,26,28,46,28
Benton,0,1,2,0,1
Blackford,0,7,4,4,4
Boone,19,21,23,13,18
Brown,0,5,10,6,8
Carroll,2,5,5,3,5
Cass,6,10,5,16,9
Clark,42,62,67,61,65
Clay,4,0,4,3,8
Clinton,8,11,12,15,10
Crawford,3,6,5,8,1
Daviess,2,0,4,4,5
DeKalb,11,13,4,3,4
Dearborn,15,17,12,17,10
Decatur,6,11,9,8,5
Delaware,42,59,86,58,59
Dubois,2,5,7,2,0
Elkhart,21,27,37,31,30
Fayette,21,21,19,14,12
Females,566,679,905,826,700
Floyd,38,32,44,41,36
Fountain,6,5,4,2,3
Franklin,5,10,9,3,7
Fulton,6,6,9,1,4
Gibson,4,2,2,3,3
Grant,13,30,53,46,39
Greene,3,4,11,6,7
Hamilton,37,43,46,52,51
Hancock,11,22,24,21,19
Harrison,14,16,17,19,17
Hendricks,25,50,47,37,36
Henry,8,9,16,11,16
Howard,28,39,44,41,34
Huntington,5,11,19,12,4
Jackson,9,20,18,18,10
Jasper,7,7,13,8,3
Jay,9,5,12,8,12
Jefferson,3,9,13,9,11
Jennings,12,8,12,19,17
Johnson,27,59,57,60,39
Knox,5,4,4,4,3
Kosciusko,9,12,22,23,19
LaGrange,0,5,5,4,2
LaPorte,28,47,51,52,34
Lake,147,166,217,187,170
Lawrence,8,10,17,14,18
Madison,51,51,51,76,56
Males,1050,1556,1813,1741,1430
Marion,362,572,699,677,555
Marshall,5,10,13,16,14
Martin,2,2,1,0,2
Miami,6,6,13,14,8
Monroe,22,43,48,58,56
Montgomery,9,9,16,11,8
Morgan,21,20,24,32,19
Newton,3,4,9,3,5
Noble,6,6,12,11,9
Ohio,2,0,0,2,4
Orange,2,3,6,4,3
Owen,5,6,5,7,7
Parke,1,2,5,3,1
Perry,0,2,3,2,2
Pike,2,2,1,1,0
Porter,38,43,50,43,41
Posey,3,2,3,8,2
Pulaski,1,6,6,8,2
Putnam,2,8,11,4,5
Randolph,9,10,21,13,10
Ripley,6,11,8,8,3
Rush,3,3,5,1,1
Scott,11,16,16,20,14
Shelby,3,2,3,4,4
Spencer,35,88,93,92,82
Starke,11,11,14,17,10
Steuben,4,2,4,5,3
Sullivan,3,1,1,3,3
Switzerland,3,3,5,5,2
Tippecanoe,38,34,40,48,39
Tipton,2,1,1,6,1
Union,2,2,2,4,2
Vanderburgh,30,46,82,67,39
Vermillion,5,3,3,2,5
Vigo,15,17,29,29,26
Wabash,6,9,9,10,6
Warren,1,1,0,1,4
Warrick,7,16,17,9,7
Washington,6,13,13,14,8
Wayne,47,45,56,44,32
Wells,10,4,6,5,4
White,3,10,6,3,2
Whitley,2,6,8,8,9
