county,2019,2020,2021,2022,2023
Adams,2,2,4,1,2
Allen,41,44,74,64,64
Bartholomew,15,12,13,5,10
Benton,0,5,1,1,2
Blackford,4,2,2,6,1
Boone,13,8,11,8,16
Brown,6,4,4,10,5
Carroll,4,1,1,4,4
Cass,3,5,5,10,6
Clark,19,16,22,25,21
Clay,0,4,7,7,6
Clinton,10,4,6,6,4
Crawford,2,3,1,2,4
Daviess,0,6,4,3,3
DeKalb,5,4,9,9,8
Dearborn,8,10,11,10,4
Decatur,5,2,4,6,4
Delaware,25,19,16,25,26
Dubois,6,5,7,8,3
Elkhart,30,16,21,29,34
Fayette,2,2,8,5,5
Females,176,194,203,208,199
Floyd,13,16,8,16,12
Fountain,4,1,1,5,4
Franklin,3,8,4,5,7
Fulton,4,3,4,8,4
Gibson,5,4,7,10,11
Grant,6,9,16,8,24
Greene,7,5,4,6,9
Hamilton,40,32,43,40,43
Hancock,13,11,11,13,10
Harrison,5,10,9,13,3
Hendricks,18,25,22,24,34
Henry,10,13,8,7,7
Howard,11,18,13,25,20
Huntington,5,3,7,6,7
Jackson,6,6,4,8,9
Jasper,3,7,6,9,12
Jay,1,2,7,4,4
Jefferson,4,3,6,2,5
Jennings,4,12,8,2,4
Johnson,24,27,28,24,34
Knox,3,7,8,6,7
Kosciusko,9,12,12,6,11
LaGrange,4,4,8,2,4
LaPorte,21,22,32,21,32
Lake,49,55,70,75,88
Lawrence,3,7,11,7,8
Madison,29,23,28,23,34
Males,793,823,921,941,985
Marion,125,144,144,151,129
Marshall,9,8,7,10,6
Martin,3,2,3,1,4
Miami,6,10,5,9,4
Monroe,19,17,17,18,20
Montgomery,3,11,5,6,6
Morgan,17,14,14,11,10
Newton,2,1,3,4,4
Noble,9,7,5,14,6
Ohio,1,1,1,0,2
Orange,6,2,2,5,3
Owen,6,4,4,7,8
Parke,4,1,2,1,1
Perry,4,2,2,3,5
Pike,2,1,2,4,3
Porter,27,27,31,28,27
Posey,1,5,5,8,5
Pulaski,5,2,3,2,3
Putnam,6,13,9,8,15
Randolph,5,5,5,6,4
Ripley,4,6,3,7,2
Rush,1,4,3,1,1
Scott,9,8,9,8,8
Shelby,2,7,5,6,0
Spencer,45,44,31,43,40
Starke,6,3,3,5,7
Steuben,7,11,4,8,9
Sullivan,1,4,6,6,3
Switzerland,2,1,1,1,0
Tippecanoe,26,23,34,23,25
Tipton,5,3,6,5,3
Union,2,1,4,1,0
Vanderburgh,35,36,40,38,44
Vermillion,1,6,6,5,6
Vigo,13,20,21,27,24
Wabash,1,3,8,9,5
Warren,0,2,0,0,1
Warrick,10,10,13,9,9
Washington,8,2,8,7,9
Wayne,12,9,11,11,18
Wells,2,4,7,1,5
White,4,6,9,6,8
Whitley,1,7,0,1,8
