county,F1,F2,F3,F4,F5,F6,FA,FB,FC,FD,M,Total
Adams,0,0,0,0,2,2,0,0,0,0,0,4
Allen,1,2,7,17,37,44,0,1,0,0,1,110
Bartholomew,0,1,1,0,2,11,0,0,0,0,0,15
Blackford,0,0,0,1,5,3,0,0,0,0,0,9
Boone,0,0,1,2,2,0,0,0,0,0,0,5
Carroll,0,1,0,1,0,2,0,0,0,0,0,4
Cass,0,1,1,3,1,3,0,0,0,0,0,9
Clark,0,0,0,1,1,1,0,1,0,0,0,4
Clay,1,0,0,0,0,0,0,0,0,0,0,1
Clinton,0,0,0,1,2,0,0,1,0,0,1,5
Daviess,0,0,0,0,1,0,0,0,0,0,0,1
De Kalb,0,0,1,0,3,2,0,2,0,0,0,8
Dearborn,0,1,0,0,4,3,0,1,0,0,0,9
Decatur,0,0,0,0,5,1,0,0,0,0,0,6
Delaware,2,0,2,2,2,1,0,0,1,0,0,10
Dubois,0,1,1,1,2,0,0,0,0,0,0,5
Elkhart,1,0,0,4,5,14,2,2,0,0,0,28
Fayette,0,0,0,1,1,5,0,1,0,0,0,8
Floyd,0,0,0,1,0,0,0,0,0,0,0,1
Fountain,0,0,0,0,0,1,0,1,0,0,0,2
Franklin,0,0,0,0,2,5,0,0,0,0,0,7
Fulton,0,0,0,0,1,0,0,0,0,0,0,1
Gibson,0,0,0,1,1,2,0,0,0,0,0,4
Grant,1,0,1,1,2,1,0,0,0,0,0,6
Greene,0,0,0,0,1,0,0,0,0,0,0,1
Hamilton,0,0,0,1,4,0,0,0,0,0,0,5
Hancock,0,0,1,1,1,1,0,0,0,0,0,4
Hendricks,0,1,0,1,1,5,0,0,0,0,0,8
Henry,0,0,2,1,2,1,0,1,0,0,0,7
Howard,0,0,0,5,6,6,0,0,0,0,0,17
Huntington,0,0,0,0,5,6,0,0,0,0,0,11
Jackson,0,0,0,1,1,0,0,0,0,0,0,2
Jasper,0,0,2,1,3,1,0,0,0,0,0,7
Jay,0,0,0,1,1,1,0,0,0,0,0,3
Jefferson,0,0,1,1,3,15,0,1,0,0,0,21
Jennings,0,0,0,0,1,0,0,0,0,0,0,1
Johnson,0,1,0,4,6,6,0,0,0,0,0,17
Knox,0,0,1,0,0,2,0,0,0,0,0,3
Kosciusko,0,0,2,0,1,0,0,0,0,0,0,3
La Porte,0,0,3,7,3,1,0,0,0,1,0,15
Lagrange,0,0,0,0,1,0,0,0,0,0,0,1
Lake,1,1,3,1,2,0,1,0,1,1,0,11
Lawrence,0,0,1,0,3,9,1,0,0,0,0,14
Madison,3,1,7,9,10,13,1,2,1,0,0,47
Marion,7,14,41,42,98,9,6,5,0,0,7,229
Marshall,0,1,0,2,3,0,0,0,0,0,0,6
Martin,0,0,0,0,1,0,0,0,0,0,0,1
Miami,0,0,0,2,2,3,0,0,0,0,1,8
Monroe,1,0,1,4,3,2,0,1,0,0,0,12
Montgomery,0,0,0,0,4,7,0,0,0,0,0,11
Morgan,0,0,0,2,3,0,0,1,0,0,0,6
Newton,0,0,1,0,1,1,0,0,0,0,0,3
Noble,0,0,0,0,4,5,1,1,0,0,0,11
Ohio,0,0,0,1,0,1,0,0,0,0,0,2
Orange,0,0,1,0,0,1,0,0,0,0,0,2
Owen,0,1,0,1,0,0,0,0,0,0,0,2
Parke,0,0,1,0,1,1,0,0,0,0,0,3
Perry,0,0,2,0,2,1,0,0,0,0,0,5
Pike,1,1,0,2,0,1,0,0,0,0,0,5
Porter,0,2,1,2,1,2,1,0,0,0,0,9
Posey,0,0,1,0,1,3,0,0,0,0,0,5
Putnam,0,0,0,0,0,1,0,0,0,0,0,1
Randolph,0,0,0,0,1,0,0,0,0,0,0,1
Ripley,0,0,0,0,0,1,0,1,0,0,0,2
Rush,0,0,0,2,1,2,0,0,0,0,0,5
Saint Joseph,0,1,2,3,1,4,0,2,0,0,0,13
Scott,0,0,2,0,1,4,0,0,0,0,0,7
Shelby,1,1,1,0,1,8,0,0,0,0,0,12
Spencer,0,0,0,0,1,1,0,0,0,0,0,2
Steuben,0,0,0,0,1,1,0,0,0,0,0,2
Sullivan,0,0,0,0,2,3,0,0,0,0,0,5
Switzerland,0,0,0,1,0,2,0,0,0,0,0,3
Tippecanoe,0,0,5,2,0,6,0,0,0,0,0,13
Vanderburgh,0,5,4,4,16,31,2,1,0,0,0,63
Vermillion,0,0,0,0,0,1,0,1,0,0,0,2
Vigo,0,2,2,2,4,3,0,0,0,0,0,13
Wabash,0,0,3,2,2,0,0,0,0,0,0,7
Washington,0,1,0,1,1,5,0,0,0,0,0,8
Wayne,0,0,1,1,3,7,1,0,0,0,0,13
Wells,0,0,1,0,3,4,0,0,0,0,0,8
Whitley,0,0,2,1,3,0,0,1,0,0,0,7
Totals,20,40,110,148,301,289,16,28,3,2,10,967
