county,male,female,total
Adams,3,0,3
Allen,29,0,29
Bartholomew,4,0,4
Benton,0,0,0
Blackford,2,1,3
Boone,7,0,7
Brown,26,0,26
Carroll,2,0,2
Cass,9,1,10
Clark,12,2,14
Clay,1,0,1
Clinton,5,0,5
Crawford,0,0,0
Daviess,0,0,0
De kalb,5,1,6
Dearborn,10,2,12
Decatur,13,0,13
Delaware,27,1,28
Dubois,1,0,1
Elkhart,46,12,58
Fayette,9,2,11
Floyd,0,0,0
Fountain,2,0,2
Franklin,4,0,4
Fulton,1,0,1
Gibson,3,0,3
Grant,4,0,4
Greene,13,0,13
Hamilton,17,0,17
Hancock,5,0,5
Harrison,28,1,29
Hendricks,16,2,18
Henry,4,0,4
Howard,4,1,5
Huntington,10,0,10
Jackson,10,0,10
Jasper,5,0,5
Jay,1,0,1
Jefferson,12,2,14
Jennings,5,0,5
Johnson,15,3,18
Knox,5,0,5
Kosciusko,9,0,9
La Porte,1,0,1
Lagrange,5,0,5
Lake,17,0,17
Lawrence,8,0,8
Madison,7,1,8
Marion,40,2,42
Marshall,10,1,11
Martin,3,0,3
Miami,6,0,6
Monroe,4,0,4
Montgomery,6,0,6
Morgan,8,0,8
Newton,1,0,1
Noble,8,1,9
Ohio,0,0,0
Orange,3,0,3
Owen,3,0,3
Parke,2,0,2
Perry,1,0,1
Pike,3,0,3
Porter,5,0,5
Posey,8,0,8
Pulaski,0,0,0
Putnam,0,0,0
Randolph,3,0,3
Ripley,1,1,2
Rush,3,0,3
Scott,2,0,2
Shelby,9,0,9
Spencer,1,0,1
St Joseph,41,3,44
Starke,1,0,1
Steuben,1,0,1
Sullivan,1,1,2
Switzerland,0,0,0
Tippecanoe,7,5,12
Tipton,0,0,0
Union,0,0,0
Vanderburgh,22,4,26
Vermillion,1,0,1
Vigo,27,0,27
Wabash,11,6,17
Warren,0,0,0
Warrick,0,0,0
Washington,9,0,9
Wayne,17,6,23
Wells,4,1,5
White,0,0,0
Whitley,2,0,2
