county,Parole,Probation,Discharged,Other,CTP,Community_Corrections,Unknown,Total
Adams,2,1,0,0,0,1,0,4
Allen,14,14,2,2,3,0,0,35
Bartholomew,8,0,0,0,0,0,0,8
Boone,0,0,1,0,0,0,0,1
Cass,4,1,0,0,0,0,0,5
Clark,1,0,1,0,0,0,0,2
Clay,1,0,0,0,0,0,0,1
Clinton,1,0,0,0,0,0,0,1
Dearborn,1,1,0,0,0,0,0,2
Decatur,0,1,0,0,1,0,0,2
Delaware,5,1,1,0,0,0,0,7
Dubois,4,0,0,0,1,0,0,5
Elkhart,6,8,2,0,0,0,0,16
Fayette,1,0,0,0,0,0,0,1
Floyd,1,0,0,0,0,0,0,1
Fountain,1,0,0,0,0,0,0,1
Franklin,0,0,0,0,1,0,0,1
Fulton,0,0,0,0,1,0,0,1
Gibson,4,0,1,0,1,0,0,6
Grant,3,1,0,1,4,0,0,9
Greene,2,0,0,0,0,0,0,2
Hamilton,2,1,0,0,0,0,0,3
Hancock,0,0,1,0,0,0,0,1
Harrison,0,3,0,0,0,0,0,3
Hendricks,3,4,1,0,3,0,0,11
Henry,1,1,0,1,0,0,0,3
Howard,4,3,0,0,1,0,0,8
Huntington,3,2,0,0,0,0,0,5
Jackson,2,2,0,0,2,0,0,6
Jasper,1,1,0,0,0,0,0,2
Jay,2,0,0,0,0,0,0,2
Jefferson,1,0,0,0,0,0,0,1
Jennings,2,2,1,0,0,0,0,5
Johnson,7,0,2,0,0,0,1,10
Knox,4,0,0,0,0,0,0,4
Kosciusko,4,2,2,1,1,0,0,10
Lagrange,0,1,0,0,0,0,0,1
Lake,9,0,2,0,0,0,0,11
Lawrence,3,2,0,0,0,0,0,5
Madison,10,4,1,0,2,0,0,17
Marion,42,11,18,3,3,5,0,82
Marshall,3,1,0,0,0,0,0,4
Martin,0,1,0,0,0,0,0,1
Miami,2,3,0,0,0,0,0,5
Monroe,4,1,3,0,2,0,0,10
Montgomery,4,0,1,0,2,0,0,7
Morgan,2,1,0,0,0,0,0,3
Newton,0,1,0,0,0,0,0,1
Noble,3,1,0,0,1,0,0,5
Orange,1,0,0,1,0,0,0,2
Owen,1,1,1,0,0,0,0,3
Pike,1,0,0,0,0,0,0,1
Porter,1,0,0,0,0,0,0,1
Posey,2,0,0,0,0,0,0,2
Pulaski,1,1,0,0,0,0,0,2
Putnam,0,0,0,1,0,0,0,1
Randolph,0,0,0,0,1,0,0,1
Ripley,2,2,0,0,1,0,0,5
Rush,1,0,0,0,0,0,0,1
Saint Joseph,7,2,2,0,5,0,0,16
Scott,2,0,0,1,1,0,0,4
Shelby,2,2,1,0,1,0,0,6
Starke,0,1,0,0,0,0,0,1
Steuben,3,1,0,0,0,0,0,4
Sullivan,1,0,0,0,0,0,0,1
Switzerland,1,1,0,0,0,0,0,2
Tippecanoe,3,4,0,0,0,0,0,7
Tipton,0,0,1,0,0,0,0,1
Vanderburgh,10,4,2,0,1,0,0,17
Vermillion,2,0,0,0,0,0,0,2
Vigo,4,4,2,0,0,1,0,11
Wabash,3,2,0,0,0,0,0,5
Washington,1,0,0,0,0,0,0,1
Wayne,3,1,0,1,0,0,0,5
Whitley,0,1,0,0,0,0,0,1
